pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_eqt,st_rad,st_mass,st_teff,sy_dist,ra,dec,download_date
11 Com b,11 Com,2,1,Radial Velocity,2007,323.21,1.178,12.2,1.09,,,,13.76,2.09,4874.0,93.1846,185.1787793,17.7932516,2025-08-09T19:18:00.759549
11 UMi b,11 UMi,1,1,Radial Velocity,2009,516.21997,1.53,12.3,1.09,,,,29.79,2.78,4213.0,125.321,229.2745954,71.8239428,2025-08-09T19:18:00.759572
14 And b,14 And,1,1,Radial Velocity,2008,186.76,0.775,13.1,1.16,,,,11.55,1.78,4888.0,75.4392,352.82415,39.2358367,2025-08-09T19:18:00.759576
14 Her b,14 Her,1,2,Radial Velocity,2002,1765.0389,2.774,12.6,1.12,2559.472161571,8.053,,0.93,0.91,5338.0,17.9323,242.6021014,43.8163621,2025-08-09T19:18:00.759578
HD 145675 c,14 Her,1,2,Radial Velocity,2021,15732.45889,11.924,12.9,1.15,1597.087745175,5.025,,0.93,0.91,5338.0,17.9323,242.6021014,43.8163621,2025-08-09T19:18:00.759581
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,798.5,1.66,13.5,1.2,,,,1.13,1.08,5750.0,21.1397,295.4656422,50.5168243,2025-08-09T19:18:00.759583
17 Sco b,17 Sco,1,1,Radial Velocity,2020,578.38,1.45,12.9,1.15,,,,25.92,1.22,4157.0,124.953,243.4620874,-11.8377905,2025-08-09T19:18:00.759585
18 Del b,18 Del,2,1,Radial Velocity,2008,982.85,2.476,12.5,1.12,,,,8.8,2.1,4980.0,76.222,314.6078375,10.8391378,2025-08-09T19:18:00.759587
24 Boo b,24 Boo,1,1,Radial Velocity,2018,30.33,0.194,13.9,1.24,,,,12.19,1.05,4816.0,95.9863,217.1555242,49.8446488,2025-08-09T19:18:00.759588
24 Sex b,24 Sex,1,2,Radial Velocity,2010,452.8,1.333,13.4,1.19,,,,4.9,1.54,5098.0,72.0691,155.8684866,-0.9023998,2025-08-09T19:18:00.759590
24 Sex c,24 Sex,1,2,Radial Velocity,2010,883.0,2.08,13.9,1.24,,,,4.9,1.54,5098.0,72.0691,155.8684866,-0.9023998,2025-08-09T19:18:00.759591
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015,406.0,0.92,13.4,1.2,603.877,1.9,,0.203,0.48,29564.0,396.332,294.6359173,46.0664076,2025-08-09T19:18:00.759593
30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,335.10001,0.99,12.3,1.1,,,,1.41,1.93,6331.0,44.657,39.2412736,24.6480103,2025-08-09T19:18:00.759595
4 UMa b,4 UMa,1,1,Radial Velocity,2006,270.27,0.877,12.6,1.12,,,,18.11,1.234,4415.0,73.4603,130.0528099,64.3280504,2025-08-09T19:18:00.759596
47 UMa b,47 UMa,1,3,Radial Velocity,1996,1078.0,2.1,13.2,1.18,,,,1.21334,1.06,5872.0,13.7967,164.8647611,40.4304931,2025-08-09T19:18:00.759598
47 UMa c,47 UMa,1,3,Radial Velocity,2001,2391.0,3.6,14.2,1.27,,,,1.21334,1.06,5872.0,13.7967,164.8647611,40.4304931,2025-08-09T19:18:00.759599
