hostname,planet_count,min_period,max_period,min_distance,max_distance,discovery_year,system_distance,ra,dec
KOI-351,8,7.008151,331.60059,0.074,1.01,2013,848.254,284.4334642,49.3051239
TRAPPIST-1,7,1.510826,18.772866,0.01154,0.06189,2016,12.42988881,346.6263919,-5.0434618
HD 10180,6,5.75969,2205.0,0.06412,3.381,2010,38.9607,24.4731133,-60.5114881
HD 110067,6,9.113678,54.76992,0.0793,0.2621,2023,32.1585,189.8392243,20.0273377
HD 191939,6,8.8803256,2898.0,0.0804,3.71,2020,53.6089,302.0256247,66.8503014
HD 219134,6,3.092926,2247.0,0.03876,3.11,2015,6.53127,348.3372026,57.1696255
HD 34445,6,49.175,5700.0,0.2687,6.36,2009,46.0907,79.4207483,7.3527156
K2-138,6,2.35309,41.96797,0.03385,0.23109,2017,202.585,348.9490311,-10.8497391
Kepler-11,6,10.3039,118.3807,0.091,0.466,2010,646.346,297.1150949,41.9091092
Kepler-20,6,3.6961049,77.611455,0.04565,0.3474,2011,282.563,287.6979913,42.3385782
TOI-1136,6,4.1727,39.545,0.05106,0.229,2022,84.5362,192.1848981,64.8552755
TOI-178,6,1.914558,20.7095,0.02607,0.1275,2021,62.699,7.3020115,-30.4541159
55 Cnc,5,0.7365474,5574.2,0.01544,5.957,1996,12.5855,133.1468373,28.3298154
GJ 667 C,5,7.203,256.2,0.050431,0.549,2012,7.24396,259.7510609,-34.9977651
HD 108236,5,3.795963,29.54115,0.04527,0.1758,2020,64.5978,186.5740627,-51.3630519
HD 134606,5,4.3203,966.5,0.0527,1.941,2024,26.7909,228.8103897,-70.5203328
HD 23472,5,3.97664,29.79749,0.04298,0.1646,2019,39.0341,55.4590314,-62.7672667
HD 40307,5,4.3123,197.8,0.0468,0.6,2009,12.9363,88.5172191,-60.0237289
Kepler-102,5,5.286965,27.453592,0.05521,0.1656,2013,107.796,281.4824731,47.2078263
Kepler-122,5,5.766193,56.268,0.064,0.28575,2014,1027.45,291.1118647,39.9490248
Kepler-150,5,3.428054,637.2093,0.044,1.24,2014,891.092,288.2341025,40.520897
Kepler-154,5,3.93276465,62.303276,0.04766,0.303,2014,915.212,289.7805393,49.8965624
Kepler-169,5,3.250619,87.090195,0.04,0.359,2014,406.529,285.9999204,40.9193822
Kepler-186,5,3.8867907,129.9441,0.0343,0.432,2014,177.594,298.652736,43.9549884
Kepler-238,5,2.090876,50.447,0.034,0.28635,2013,1798.75,287.8971066,40.6378141
Kepler-292,5,2.580827,20.834237,0.035,0.141,2014,1056.48,295.7661979,42.4242822
Kepler-296,5,5.8416366,63.33627,0.0521,0.255,2014,167.0,286.5400278,49.4372614
Kepler-32,5,0.74296,22.7802,0.013,0.13,2011,323.847,297.8423073,46.5743595
Kepler-33,5,5.66793,41.02902,0.0677,0.2535,2011,1209.16,289.0775348,46.0051696
Kepler-444,5,3.6001053,9.740486,0.04178,0.0811,2015,36.4396,289.7528323,41.631884
Kepler-48,5,4.778,5219.681854,0.05394,5.719187877,2012,306.738,299.1393094,40.948939
Kepler-55,5,2.211099,42.1516418,0.029,0.2095,2012,578.796,285.1683291,44.0264898
Kepler-62,5,5.714932,267.291,0.0553,0.718,2013,300.874,283.2125621,45.3496992
Kepler-80,5,0.9867873,9.52355,0.0175,0.0792,2012,369.451,296.1125759,39.9787451
Kepler-82,5,2.382961,75.732,0.034,0.3395,2012,904.326,292.8733696,42.9661583
Kepler-84,5,4.224537,44.552169,0.052,0.25,2012,1023.9,298.2520208,40.4960842
L 98-59,5,2.253114,23.064,0.0223,0.1052,2019,10.6194,124.5328604,-68.3144658
Barnard's star,4,2.3402,6.7392,0.0188,0.0381,2024,1.82655,269.4486144,4.7379808
DMPP-1,4,2.882,18.57,0.0422,0.1462,2019,62.5388,86.7761233,-10.6303217
GJ 3293,4,13.2543,122.6196,0.08208,0.36175,2015,20.1903,67.1484425,-25.1713396
GJ 676 A,4,3.60076,13921.42302,0.039,9.726,2010,16.0272,262.5448903,-51.6377777
GJ 876,4,1.93778,124.26,0.02080665,0.3343,1998,4.67517,343.3239737,-14.2665958
HD 141399,4,94.44,5000.0,0.415,5.0,2014,37.0169,236.7235392,46.986288
HD 164922,4,12.458,1207.0,0.103,2.16,2005,22.0016,270.6304652,26.3104077
HD 20781,4,5.3135,85.5073,0.0529,0.3374,2019,35.9715,50.0139757,-28.7841175
HD 20794,4,18.314,647.6,0.1257,1.3541,2011,6.00278,49.9997666,-43.0666533
HD 215152,4,5.75999,25.1967,0.057638,0.15417,2018,21.5974,340.8380941,-6.4020685
HD 3167,4,0.959641,96.63,0.01796,0.3885,2016,47.2899,8.7401487,4.3807215
HR 8799,4,20815.6,170000.0,16.4,68.0,2008,41.2441,346.8701486,21.1340376
K2-133,4,3.07133,26.5841,0.03194,0.1346,2017,75.1703,70.1493775,25.0098135
K2-187,4,0.77401,13.606629,0.0164,0.1106,2018,330.916,132.5235618,23.1924709
K2-266,4,0.658524,19.482,0.01306,0.1249,2018,77.5586,157.9356855,0.9372782
K2-285,4,3.471745,14.76289,0.03817,0.18041,2018,154.961,349.3843458,1.3001522
K2-32,4,4.34934,31.71701,0.04899,0.18422,2016,157.682,252.426008,-19.5430504
K2-72,4,5.577212,24.158868,0.04,0.106,2016,66.4321,334.6227504,-9.6120084
KOI-94,4,3.743208,54.32031,0.05119,0.3046,2013,477.052,297.3330716,41.8911186
Kepler-100,4,6.88734,60.888588,0.07309,0.312391586,2014,304.645,291.3861294,41.9901394
Kepler-106,4,6.16486,43.8445,0.06491,0.24006,2014,444.322,300.864006,44.3375497
Kepler-107,4,3.1800218,14.749143,0.04544,0.12638,2014,525.997,297.028162,48.2086019
Kepler-132,4,6.178196,110.2869374,0.067,0.43927,2014,349.549,283.23581,41.343037
Kepler-138,4,10.3134,38.23,0.0753,0.1803,2014,66.8624,290.3814122,43.2930645
Kepler-1388,4,5.53608151,37.6327084,0.0519,0.1861,2016,453.795,283.3360156,47.1744499
Kepler-139,4,7.305699922,2047.635373,0.0755533961,3.23579639,2014,391.038,282.3919451,43.8894167
Kepler-1542,4,2.89223021,5.99273738,0.0387,0.0629,2016,399.114,285.7284757,42.6544651
Kepler-164,4,5.03503,94.886902,0.058,0.4025,2014,890.758,287.7808115,47.6298453
Kepler-167,4,4.3931539,1071.23205,0.04825,1.883,2014,341.908,292.6585253,38.3455558
Kepler-172,4,2.940309,35.118736,0.04,0.211,2014,828.592,283.3684093,41.821839
Kepler-176,4,5.433074,51.16579,0.058,0.25654,2014,527.321,294.6679021,43.8532104
Kepler-197,4,5.599308,25.209715,0.06,0.164,2014,330.575,295.2264739,50.5592348
Kepler-1987,4,2.345863002,8.74292005,0.0318,0.0765,2023,595.683,295.8254663,42.9433716
Kepler-208,4,4.22864,16.259458,0.054,0.132,2014,775.328,293.8901979,42.5279413
Kepler-215,4,9.360672,68.16101,0.084,0.314,2014,485.997,294.9735313,45.2136867
Kepler-220,4,4.159807,45.902733,0.046,0.226,2014,171.109,291.5060432,46.8956262
Kepler-221,4,2.795906,18.369917,0.037,0.13,2014,385.231,296.6547477,46.8352242
